idnr;uthestenavn
30003035;Olympia Karsk 
30003036;VIsum Fortuna 
30003037;Gloriosa 
30003038;Victoria Power 
30003039;Proud Service 
30003040;Self Speed 
30003041;Irisante 
30003042;Iron Rock As 
30003043;BARCHETTA     
30003044;Corvette Lauxmont 
30003045;Keystone Lauren 
30003046;Carisma     
30003047;Kalamari 
30003048;Just A Diamond 
30003049;Lass Holley 
30003050;Lass Honey 
30003051;Locnoe 
30003052;PA'     
30003053;Tirana     
30003054;TROLLBEST     
30003055;WILMA     
30003056;BORKEN     
30003057;BJARTUR     
30003058;CAIKO     
30003059;Calli Bee     
30003060;Milgun Blossom     
30003061;US Impressive Blue     
30003062;Pipedream Image     
30003063;Peppy's Dream Image 
30003064;Langmyrs Vilja     
30003065;Tzari     
30003066;Spottet Acres Sassafrass     
30003067;No Me Acres Soffie     
30003068;No Me Acres Marilyn     
30003069;Triple R Ranch Little Amigo     
30003070;CLYDE     
30003071;WIMSICAL LADY     
30003072;MARIAN     
30003073;Los Little Amigos Macarena     
30003074;Little Friends Kendra     
30003075;Little Friends Savona     
30003076;Little Friends Medina     
30003077;Little Friends Piccolo     
30003078;Little Friends Dello     
30003079;JMO Dancin' Daisy     
30003080;KA Buttkiss     
30003081;KA Dancin'Daisy Bell     
30003082;Rolo Cecilia     
30003083;AL Willow 5343     
30003084;AL Holly 5345     
30003085;AL Don Quioti 5235     
30003086;LN Neek 19820     
30003087;LN Roseato Luigi     
30003088;BEA Jennie Sam 5008     
30003089;LN Redsonnehi 15851     
30003090;LN Red Sonfire     
30003091;LN Rosine     
30003092;LN Rising Son AA     
30003093;AL Little Red     
30003094;AL Julie     
30003095;Joy AA     
30003096;Ass-pirin Acres Jolly Roger     
30003097;SA Julio     
30003098;SA Butter Cup     
30003099;Little Friends Ranch Jasmine     
30003100;CHAMIR     
30003101;Grasdal Hurricane     
30003102;SJAMAN     
30003103;Bodi     
30003107;Gatwick 
30003108;Silas     
30003109;Eiker Sandra     
30003110;RYTTERGÅRDENS TITAN     
30003111;Hoot and Hollow 
30003112;Wildwood Holly 
30003113;Wildwood Hattie 
30003114;Callita 
30003115;King Photo A.M. 
30003116;Pjokken     
30003117;Miss Tyson 
30003118;Speedy Sandra 
30003119;Sally Laurelton 
30003120;Stas Hazelaar 
30003121;Elwood 
30003122;Larron Du Bouffey 
30003124;Dorffee 
30003125;Erbfee 
30003126;Gerrols Fee 
30003128;Mina ox     
30003129;Schivas Regal ox     
30003130;Racino 
30003131;Regals Hiawatha     
30003135;Schack Brodde 
30003136;Colombo 
30013491;Charlock Twister 
30013492;Daylight Destinction     
30013493;Vicke Tryck 
30013494;Vixie 
30013495;Sille     
30013496;Lene     
30013497;Faibar     
30013498;Farinelli     
30013499;Ofelia     
30013500;Amanda     
30013501;Uschi     
30013502;Granto     
30013503;Ulrike     
30013504;Ulla     
30013505;Ulitta     
30013506;Dusty Nan xx     
30013507;Two Eyed Jacky Sun     
30013508;Elch     
30013509;Hey Hey Snowflake     
30013510;Edith     
30013511;Capitän     
30013512;Compact     
